가입연도,가입당시연령,계약자 소재지(시군구),면적,지목,월지급금(원)
2015,70대,강원특별자치도 삼척시 도계읍 늑구리,3760,전,489980
2024,60대,강원특별자치도 삼척시 도계읍 도계리,4708,"답,전",523330
2016,70대,강원특별자치도 삼척시 도계읍 심포리,4764,전,516020
2017,70대,강원특별자치도 삼척시 도계읍 흥전리,9221,전,947370
2017,60대,강원특별자치도 삼척시 도계읍 흥전리,10814,전,236800
2018,60대,강원특별자치도 삼척시 도계읍 흥전리,13500,전,447690
2024,60대,강원특별자치도 삼척시 미로면 내미로리,2674,전,536850
2019,70대,강원특별자치도 삼척시 하장면 갈전리,4922,전,270020
2019,70대,강원특별자치도 삼척시 하장면 갈전리,2193,전,139590
2019,70대,강원특별자치도 삼척시 하장면 갈전리,2357,답,140370
2019,70대,강원특별자치도 삼척시 하장면 갈전리,3999,답,238200
2023,80대,강원특별자치도 삼척시 하장면 대전리,10650,전,3000000
2025,60대,강원특별자치도 삼척시 하장면 어리,3465,답,2016630
2011,70대,강원특별자치도 속초시 교동 ,4218,전,2650660
2011,70대,강원특별자치도 속초시 교동 ,3015,전,2056710
2013,70대,강원특별자치도 속초시 교동 ,1602,답,132610
2016,70대,강원특별자치도 속초시 교동 ,2717,전,2984090
2017,70대,강원특별자치도 속초시 교동 ,1160,전,468160
2017,70대,강원특별자치도 속초시 교동 ,9591,전,675970
2018,70대,강원특별자치도 속초시 교동 ,15580,전,1414620
2018,60대,강원특별자치도 속초시 교동 ,460,전,41760
2020,60대,강원특별자치도 속초시 교동 ,3270,답,451710
2020,70대,강원특별자치도 속초시 교동 ,8368,전,2853240
2023,60대,강원특별자치도 속초시 교동 ,11898,답,2232710
2024,60대,강원특별자치도 속초시 교동 ,2000,전,2725730
2024,80대,강원특별자치도 속초시 교동 ,3350,답,1775390
2011,70대,강원특별자치도 속초시 금호동 ,4066,답,556230
2020,60대,강원특별자치도 속초시 금호동 ,1502,전,615540
2011,60대,강원특별자치도 속초시 노학동 ,2000,답,1677360
2016,70대,강원특별자치도 속초시 노학동 ,1904,답,2409500
2016,70대,강원특별자치도 속초시 노학동 ,2000,전,1914030
2016,60대,강원특별자치도 속초시 노학동 ,1902,답,1560000
2017,70대,강원특별자치도 속초시 노학동 ,2109,답,2019910
2023,80대,강원특별자치도 속초시 노학동 ,7338,답,2040170
2020,70대,강원특별자치도 속초시 대포동 ,3418,전,888070
2023,70대,강원특별자치도 속초시 대포동 ,1073,전,2353450
2012,80대,강원특별자치도 속초시 도문동 ,3840,답,295640
2018,60대,강원특별자치도 속초시 도문동 ,1206,답,593030
2018,60대,강원특별자치도 속초시 도문동 ,2101,답,1033140
2021,70대,강원특별자치도 속초시 도문동 ,3288,답,3000000
2023,60대,강원특별자치도 속초시 도문동 ,6592,답,1631160
2017,70대,강원특별자치도 속초시 조양동 ,1433,전,185490
2017,60대,강원특별자치도 속초시 조양동 ,4973,답,332490
2017,60대,강원특별자치도 속초시 조양동 ,6968,답,459820
2019,80대,강원특별자치도 속초시 조양동 ,1812,답,1945510
2019,80대,강원특별자치도 속초시 조양동 ,1765,전,1720320
2019,80대,강원특별자치도 속초시 조양동 ,1765,전,1054490
2020,80대,강원특별자치도 속초시 조양동 ,1950,답,1344630
2022,80대,강원특별자치도 속초시 조양동 ,882,답,1956160
2025,70대,강원특별자치도 속초시 조양동 ,2631,답,837810
2024,60대,강원특별자치도 속초시 청호동 ,2466,답,1206160
2024,60대,강원특별자치도 속초시 청호동 ,1665,전,1051580
2022,60대,강원특별자치도 양구군 국토정중앙면 죽리,12018,답,1111550
2023,80대,강원특별자치도 양구군 국토정중앙면 죽리,7904,답,2084780
2024,80대,강원특별자치도 양구군 국토정중앙면 죽리,6390,답,915220
2015,70대,강원특별자치도 양구군 남면 창동길 27-7,7101,답,156720
2016,70대,강원특별자치도 양구군 남면 창동길34번길 14,9306,답,988640
2014,70대,강원특별자치도 양구군 동면 월운리,11748,"답,전",1018290
2021,70대,강원특별자치도 양구군 동면 월운리,5322,전,608820
2021,70대,강원특별자치도 양구군 동면 월운리,2078,답,283020
2017,70대,강원특별자치도 양구군 동면 임당리,3734,답,739730
2017,70대,강원특별자치도 양구군 동면 임당리,6079,답,496530
2012,80대,강원특별자치도 양구군 동면 후곡리,9761,답,413380
2011,70대,강원특별자치도 양구군 방산면 금악리,15933,답,1730170
2019,70대,강원특별자치도 양구군 방산면 오미리,8699,답,606970
2023,60대,강원특별자치도 양구군 방산면 오미리,13691,"답,전",618000
2016,70대,강원특별자치도 양구군 방산면 장평리,4061,답,401630
2020,70대,강원특별자치도 양구군 방산면 장평리,4763,전,952170
